text,label
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
http://update-appleid-security.com,1
https://accounts.google.com/ServiceLogin,0
http://paypal.com.refunds-billing-center.top,1
https://www.microsoft.com/en-us,0
